snap,conc_single
615,9.410977874826063
616,9.411347797584353
617,9.411713925041727
618,9.41207629613684
619,9.412434949408848
620,9.4127899230015
621,9.41314125466721
622,9.413488981771065
623,9.413833141294802
624,9.41417376984073
625,9.41451090363563
626,9.41484457853462
627,9.415174830024943
628,9.415501693229759
629,9.415825202911877
630,9.416145393477453
631,9.416462298979644
632,9.416775953122231
633,9.41708638926321
634,9.417393640418334
635,9.417697739264613
636,9.417998718143823
637,9.4182966090659
638,9.418591443712392
639,9.41888325343978
640,9.41917206928286
641,9.419457921958006
642,9.41974084186646
643,9.420020859097546
644,9.420298003431892
645,9.420572304344583
646,9.420843791008295
647,9.421112492296404
648,9.421378436786057
649,9.421641652761203
650,9.42190216821561
651,9.422160010855833
652,9.422415208104178
653,9.422667787101595
654,9.42291777471058
655,9.423165197518031
656,9.423410081838067
657,9.423652453714832
658,9.423892338925278
659,9.424129762981872
660,9.424364751135345
661,9.424597328377363
662,9.42482751944318
663,9.425055348814276
664,9.425280840720959
665,9.425504019144938
666,9.425724907821886
667,9.425943530243938
668,9.426159909662228
669,9.42637406908932
670,9.426586031301687
671,9.426795818842129
672,9.427003454022142
673,9.42720895892434
674,9.427412355404748
675,9.427613665095178
676,9.42781290940549
677,9.428010109525895
678,9.428205286429193
679,9.428398460873014
680,9.428589653402016
681,9.42877888435008
682,9.428966173842463
683,9.429151541797943
684,9.429335007930936
685,9.4295165917536
686,9.429696312577901
687,9.429874189517669
688,9.430050241490628
689,9.430224487220418
690,9.430396945238575
691,9.430567633886515
692,9.430736571317464
693,9.430903775498411
694,9.431069264212011
695,9.431233055058458
696,9.43139516545739
697,9.431555612649715
698,9.431714413699464
699,9.431871585495589
700,9.43202714475376
701,9.432181108018163
702,9.432333491663234
703,9.432484311895424
704,9.432633584754898
705,9.432781326117256
706,9.432927551695226
707,9.433072277040319
708,9.4332155175445
709,9.433357288441814
710,9.433497604810011
711,9.433636481572137
712,9.433773933498147
713,9.433909975206449
714,9.43404462116548
715,9.434177885695226
716,9.434309782968759
717,9.43444032701374
718,9.434569531713903
719,9.434697410810546
720,9.43482397790399
721,9.434949246455009
722,9.435073229786278
723,9.435195941083789
724,9.435317393398243
725,9.435437599646452
726,9.435556572612697
727,9.435674324950101
728,9.43579086918197
729,9.435906217703119
730,9.436020382781201
731,9.43613337655801
732,9.436245211050757
733,9.436355898153375
734,9.436465449637753
735,9.43657387715501
736,9.436681192236735
737,9.436787406296201
738,9.436892530629576
739,9.43699657641715
740,9.437099554724481
