center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
9.008445469744654,8.856729061512722,8.494882323403969,8.494882323403969,8.494882323403969,8.740555773466685,9.910772556540637,9.267254430077044,12,9.310011748290778,195,9.119847990616123,9.356316541324311,9.119847990616123,9.119847990616123,3.0,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.006586795203388,8.85489518104174,8.493126577824425,8.493126577824425,8.493126577824425,8.738781578565792,9.91020724176845,9.265452258424103,12,9.308256154412527,195,9.118071435804593,9.354630393212082,9.118071435804593,9.118071435804593,3.1,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.00490143429934,8.853233231004412,8.491534997028896,8.491534997028896,8.491534997028896,8.737173232885432,9.90969454153935,9.263818072750786,12,9.306664175234557,195,9.116460895854082,9.353101482235102,9.116460895854082,9.116460895854084,3.2,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.003373137089277,8.851726933637153,8.490092112813265,8.490092112813265,8.490092112813265,8.735715119815994,9.909229569167714,9.26233614412504,12,9.305220501343296,195,9.115000755713305,9.351715085911115,9.115000755713305,9.115000755713305,3.3,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.001987207190078,8.850361593771407,8.488783948516431,8.48878394851643,8.488783948516431,8.734393125893702,9.908807888830559,9.260992240467152,12,9.303911277043188,195,9.113676898204444,9.350457879604415,9.113676898204444,9.113676898204444,3.4,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.000730343971204,8.849123933862115,8.487597865483878,8.487597865483878,8.487597865483878,8.73319448678504,9.908425474843751,9.259773476557127,12,9.302723955635766,195,9.112476552016124,9.349317797905751,9.112476552016124,9.112476552016124,3.5,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
8.999590503491486,8.848001949182656,8.486522428042026,8.486522428042026,8.486522428042026,8.732107651659383,9.908078674361198,9.258668181298576,12,9.301647171088515,195,9.111388157452923,9.348283911482602,9.111388157452923,9.111388157452923,3.6,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
8.998556775222482,8.846984779965965,8.485547284044541,8.485547284044541,8.485547284044541,8.73112216306979,9.907764173285273,9.257665779644254,12,9.300670623690085,195,9.11040124724979,9.347346317198783,9.11040124724979,9.110401247249792,3.7,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
8.99761927223345,8.846062597952516,8.48466305867657,8.48466305867657,8.48466305867657,8.730228550067515,9.907478965165547,9.256756687121618,12,9.299784977771642,195,9.109506340310299,9.34649603973041,9.109506340310299,9.109506340310299,3.8,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
8.996769032982378,8.845226505313862,8.48386125966773,8.48386125966773,8.48386125966773,8.729418232727562,9.907220322861733,9.255932215295266,12,9.298981769936276,195,9.108694846639816,9.345724943228399,9.108694846639816,9.108694846639816,3.9,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
