time_s,distance_10um,force_nN
2895,0.957236,0.157913
2898,0.957266,0.157744
2901,0.957297,0.157575
2904,0.957327,0.157407
2907,0.957357,0.157239
2910,0.957388,0.157071
2913,0.957418,0.156903
2916,0.957448,0.156736
2919,0.957479,0.156569
2922,0.957509,0.156402
2925,0.957539,0.156236
2928,0.957569,0.156069
2931,0.957599,0.155903
2934,0.957629,0.155737
2937,0.957659,0.155571
2940,0.957689,0.155406
2943,0.957719,0.155241
2946,0.957749,0.155076
2949,0.957779,0.154911
2952,0.957809,0.154746
2955,0.957839,0.154582
2958,0.957869,0.154418
2961,0.957899,0.154254
2964,0.957928,0.154091
2967,0.957958,0.153927
2970,0.957988,0.153764
2973,0.958018,0.153601
2976,0.958047,0.153439
2979,0.958077,0.153276
2982,0.958106,0.153114
2985,0.958136,0.152952
2988,0.958165,0.152791
2991,0.958195,0.152629
2994,0.958224,0.152468
2997,0.958254,0.152307
3000,0.958283,0.152146
3003,0.958312,0.151985
3006,0.958342,0.151825
3009,0.958371,0.151665
3012,0.9584,0.151505
3015,0.95843,0.151345
3018,0.958459,0.151186
3021,0.958488,0.151027
3024,0.958517,0.150868
3027,0.958546,0.150709
3030,0.958575,0.15055
3033,0.958604,0.150392
3036,0.958633,0.150234
3039,0.958662,0.150076
3042,0.958691,0.149918
3045,0.95872,0.149761
3048,0.958749,0.149604
3051,0.958778,0.149447
3054,0.958807,0.14929
3057,0.958836,0.149133
3060,0.958864,0.148977
3063,0.958893,0.148821
3066,0.958922,0.148665
3069,0.958951,0.148509
3072,0.958979,0.148354
3075,0.959008,0.148198
3078,0.959036,0.148043
3081,0.959065,0.147889
3084,0.959094,0.147734
3087,0.959122,0.14758
3090,0.95915,0.147426
3093,0.959179,0.147272
3096,0.959207,0.147118
3099,0.959236,0.146964
3102,0.959264,0.146811
3105,0.959292,0.146658
3108,0.959321,0.146505
3111,0.959349,0.146352
3114,0.959377,0.1462
3117,0.959405,0.146048
3120,0.959434,0.145896
3123,0.959462,0.145744
3126,0.95949,0.145592
3129,0.959518,0.145441
3132,0.959546,0.14529
3135,0.959574,0.145139
3138,0.959602,0.144988
3141,0.95963,0.144837
3144,0.959658,0.144687
3147,0.959686,0.144537
3150,0.959714,0.144387
3153,0.959742,0.144237
3156,0.959769,0.144088
3159,0.959797,0.143939
3162,0.959825,0.14379
3165,0.959853,0.143641
3168,0.95988,0.143492
3171,0.959908,0.143344
3174,0.959936,0.143195
3177,0.959963,0.143047
3180,0.959991,0.142899
3183,0.960018,0.142752
3186,0.960046,0.142604
3189,0.960073,0.142457
3192,0.960101,0.14231
3195,0.960128,0.142163
3198,0.960156,0.142017
3201,0.960183,0.14187
3204,0.960211,0.141724
3207,0.960238,0.141578
3210,0.960265,0.141432
3213,0.960292,0.141286
3216,0.96032,0.141141
3219,0.960347,0.140996
3222,0.960374,0.140851
3225,0.960401,0.140706
3228,0.960428,0.140561
3231,0.960456,0.140417
3234,0.960483,0.140273
3237,0.96051,0.140129
3240,0.960537,0.139985
3243,0.960564,0.139841
3246,0.960591,0.139698
3249,0.960618,0.139555
3252,0.960645,0.139412
3255,0.960671,0.139269
3258,0.960698,0.139126
3261,0.960725,0.138984
3264,0.960752,0.138841
3267,0.960779,0.138699
3270,0.960805,0.138557
3273,0.960832,0.138416
3276,0.960859,0.138274
3279,0.960885,0.138133
3282,0.960912,0.137992
3285,0.960939,0.137851
3288,0.960965,0.13771
3291,0.960992,0.13757
