snap,conc_mean
442,9.947003470666521
443,9.94749136717348
444,9.947974257920464
445,9.948452194268128
446,9.948925227050072
447,9.949393406578256
448,9.94985678264834
449,9.950315404545009
450,9.950769321047192
451,9.951218580433283
452,9.951663230486254
453,9.952103318498759
454,9.952538891278156
455,9.9529699951515
456,9.953396675970463
457,9.953818979116223
458,9.954236949504283
459,9.954650631589264
460,9.955060069369626
461,9.955465306392364
462,9.955866385757616
463,9.956263350123287
464,9.956656241709547
465,9.957045102303361
466,9.957429973262913
467,9.957810895522018
468,9.958187909594464
469,9.958561055578345
470,9.958930373160308
471,9.959295901619782
472,9.959657679833168
473,9.960015746277952
474,9.960370139036828
475,9.960720895801726
476,9.961068053877831
477,9.961411650187564
478,9.96175172127449
479,9.962088303307217
480,9.962421432083245
481,9.96275114303277
482,9.963077471222459
483,9.963400451359174
484,9.963720117793672
485,9.964036504524252
486,9.964349645200375
487,9.964659573126257
488,9.964966321264377
489,9.965269922239026
490,9.965570408339751
491,9.965867811524795
492,9.966162163424505
493,9.966453495344686
494,9.966741838269936
495,9.967027222866948
496,9.96730967948776
497,9.967589238172993
498,9.967865928655051
499,9.968139780361263
500,9.968410822417042
501,9.96867908364896
502,9.968944592587825
503,9.969207377471715
504,9.969467466248984
505,9.969724886581226
506,9.969979665846223
507,9.970231831140865
508,9.970481409284021
509,9.970728426819399
510,9.970972910018356
511,9.971214884882713
512,9.971454377147507
513,9.971691412283736
514,9.971926015501055
515,9.972158211750475
516,9.972388025727009
517,9.972615481872294
518,9.972840604377202
519,9.973063417184397
520,9.973283943990896
521,9.973502208250592
522,9.973718233176731
523,9.973932041744394
524,9.974143656692945
525,9.974353100528432
526,9.974560395526003
527,9.974765563732257
528,9.974968626967597
529,9.975169606828556
530,9.975368524690076
531,9.97556540170781
532,9.975760258820344
533,9.975953116751432
534,9.976143996012222
535,9.976332916903402
536,9.976519899517383
537,9.976704963740435
538,9.97688812925479
539,9.977069415540749
540,9.97724884187874
541,9.977426427351379
542,9.977602190845502
543,9.977776151054162
544,9.977948326478632
545,9.97811873543035
546,9.978287396032897
547,9.9784543262239
548,9.97861954375695
549,9.978783066203494
550,9.97894491095469
551,9.979105095223272
552,9.979263636045374
553,9.979420550282336
554,9.97957585462251
555,9.97972956558303
556,9.979881699511562
557,9.98003227258805
558,9.98018130082643
559,9.98032880007635
560,9.980474786024828
561,9.98061927419795
562,9.9807622799625
563,9.980903818527603
564,9.981043904946345
565,9.981182554117366
566,9.981319780786444
567,9.981455599548083
568,9.981590024847039
569,9.981723070979871
570,9.98185475209646
571,9.98198508220151
572,9.982114075156037
573,9.982241744678852
574,9.98236810434801
575,9.982493167602266
576,9.982616947742484
577,9.982739457933068
578,9.982860711203365
579,9.982980720449035
580,9.98309949843344
581,9.983217057788986
582,9.983333411018476
583,9.983448570496439
584,9.98356254847044
585,9.983675357062388
586,9.98378700826983
587,9.983897513967214
588,9.984006885907164
589,9.984115135721716
590,9.984222274923575
591,9.984328314907323
592,9.984433266950637
593,9.98453714221549
594,9.984639951749331
595,9.984741706486268
596,9.984842417248235
597,9.984942094746117
598,9.985040749580925
599,9.985138392244904
600,9.985235033122642
601,9.985330682492194
602,9.985425350526157
603,9.985519047292767
604,9.985611782756951
605,9.985703566781417
606,9.985794409127665
607,9.985884319457059
608,9.985973307331829
609,9.986061382216102
610,9.98614855347691
611,9.98623483038518
612,9.98632022211672
613,9.986404737753197
614,9.986488386283101
615,9.986571176602705
616,9.98665311751701
617,9.986734217740674
618,9.986814485898954
619,9.9868939305286
620,9.986972560078796
621,9.98705038291202
622,9.987127407304971
623,9.987203641449419
624,9.987279093453095
625,9.987353771340542
626,9.98742768305398
627,9.987500836454135
628,9.987573239321092
629,9.987644899355109
630,9.987715824177444
631,9.98778602133117
632,9.987855498281954
633,9.987924262418879
634,9.987992321055216
635,9.988059681429204
636,9.988126350704816
637,9.98819233597253
638,9.988257644250071
639,9.988322282483175
