164	 -4.98099, 0, 0	 4.9812, 0, 0
165	 -4.98118, 0, 0	 4.98139, 0, 0
166	 -4.98136, 0, 0	 4.98157, 0, 0
167	 -4.98154, 0, 0	 4.98175, 0, 0
168	 -4.98172, 0, 0	 4.98193, 0, 0
169	 -4.98189, 0, 0	 4.9821, 0, 0
170	 -4.98206, 0, 0	 4.98227, 0, 0
171	 -4.98223, 0, 0	 4.98244, 0, 0
172	 -4.9824, 0, 0	 4.98261, 0, 0
173	 -4.98257, 0, 0	 4.98278, 0, 0
174	 -4.98273, 0, 0	 4.98294, 0, 0
175	 -4.98289, 0, 0	 4.9831, 0, 0
176	 -4.98305, 0, 0	 4.98326, 0, 0
177	 -4.9832, 0, 0	 4.98341, 0, 0
178	 -4.98336, 0, 0	 4.98357, 0, 0
179	 -4.98351, 0, 0	 4.98372, 0, 0
180	 -4.98366, 0, 0	 4.98387, 0, 0
