center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3,center_concentration_uM,average_concentration_uM,absolute_error_uM,relative_error_percent
0.04845884708270201,6.325016893204034,3.1867378701433684,3.186737870143368,3.1867378701433684,4.965163450633972,9.521668734314076,4.5783815738404146,12,7.014596229357903,96,4.578381573840415,7.899036995260119,5.257872946186091,4.579966041219183,5.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.145256490215465,9.78526382189051,0.2635950875764337,2.693796430779392
0.04845643890260066,6.324666359653303,3.1865613992779527,3.1865613992779527,3.1865613992779527,4.964918409110642,9.521551384840784,4.578143692232315,12,7.0142835802298125,96,4.578143692232315,7.898755187755431,5.25761198027961,4.579728105786963,5.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.144676375927852,9.785114145775504,0.26356276093472,2.693507270413469
0.048454313691770376,6.324356892053407,3.18640560287259,3.186405602872589,3.18640560287259,4.96470210659716,9.521447813287075,4.577933705714449,12,7.014007622989033,96,4.577933705714449,7.89850645823464,5.257381624675496,4.5795180717758575,5.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.144152939199169,9.784979093011822,0.2635312797247469,2.6932227163669062
0.04845243817899662,6.324083683891965,3.1862680610354808,3.1862680610354817,3.1862680610354808,4.964511173689509,9.521356401655744,4.577748344572501,12,7.013764051588133,96,4.577748344572501,7.8982869237749656,5.257178289923446,4.5793326687260425,5.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.143680642526448,9.784857234904264,0.2635008332485196,2.6929450979475402
0.0484507830089507,6.3238424904388175,3.186146636723884,3.186146636723884,3.186146636723884,4.964342635814545,9.521275722017933,4.577584722108411,12,7.013549065322948,96,4.577584722108412,7.898093157314018,5.256998807306367,4.579169009281895,5.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.143254489452193,9.784747282338785,0.26347156032085195,2.692676189975916
0.04844932228058777,6.323629563223018,3.1860394427518033,3.1860394427518033,3.1860394427518033,4.964193866997493,9.521204514174986,4.57744028981476,12,7.013359309525505,96,4.577440289814761,7.897922134120232,5.256840379553862,4.579024544355968,5.5,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.142869971694462,9.78464807214618,0.26344355797119334,2.692417305443355
0.04844803314009349,6.323441592128581,3.1859448126343377,3.1859448126343377,3.1859448126343377,4.964062549037538,9.521141665947448,4.577312797788592,12,7.013191823218143,96,4.577312797788593,7.897771184551293,5.256700537324844,4.578897023533659,5.6,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.142523021445441,9.784558554797695,0.26341688885024617,2.6921693745813817
0.04844689542190684,6.323275654226934,3.18586127482442,3.18586127482442,3.18586127482442,4.9639466354596875,9.521086195781923,4.577200259773227,12,7.0130439929113875,96,4.577200259773228,7.897637952361401,5.256577100784562,4.578784460106935,5.7,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.142209968332635,9.784477783303014,0.2633915875210917,2.6919330122100473
0.048445891332120135,6.323129168565543,3.1857875299488314,3.1857875299488314,3.1857875299488314,4.963844319684768,9.521037237403007,4.577100922287883,12,7.012913511824259,96,4.577100922287883,7.897520357905237,5.2564681456801825,4.578685100196831,5.8,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.141927500586162,9.784404903192167,0.2633676657891595,2.6917085749715413
0.04844500516923639,6.322999856222163,3.1857224306956997,3.1857224306956997,3.1857224306956997,4.963754006924617,9.520994026269603,4.57701323736782,12,7.012798343890505,96,4.57701323736782,7.897416565663279,5.256371973388757,4.578597395487335,5.9,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.141672630001209,9.784339143476755,0.2633451172071517,2.691496209866403
0.04844422307786327,6.322885705013762,3.185664964045813,3.185664964045813,3.185664964045813,4.963674289367011,9.520955887623295,4.576935838493433,12,7.012696691988931,96,4.576935838493432,7.897324955580689,5.2562870844728735,4.578519979148921,6.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.141442660324191,9.784279808493645,0.2633239208703504,2.6912958952968746
0.04844353283144742,6.3227849383196695,3.1856142355755583,3.1856142355755583,3.1856142355755583,4.963603924265741,9.520922225941531,4.576867519335766,12,7.0126069699020945,96,4.576867519335766,7.8972440977718135,5.2562121553335865,4.578451644579205,6.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.141235158728056,9.78422627054602,0.26330404460448875,2.691107475683867
0.04844292364061682,6.322695987540965,3.1855694555907914,3.185569455590791,3.1855694555907914,4.9635418145961125,9.520892515630303,4.5768072149894055,12,7.012527777565777,96,4.576807214989407,7.897172730194918,5.256146017598188,4.578391326631524,6.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.141047930074824,9.784177963262941,0.2632854476326383,2.690930690561916
0.048442385984105614,6.322617467773339,3.1855299268787225,3.185529926878723,3.1855299268787225,4.963486991975814,9.520866292810599,4.5767539854020525,12,7.012457879222995,96,4.5767539854020525,7.897109738948271,5.256087639922779,4.57833808504072,6.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140878993692813,9.784134375607966,0.26326808279736724,2.690765198950043
0.048441911459595054,6.32254815631961,3.1854950338896026,3.185495033889602,3.1854950338896026,4.963438601586163,9.520843148070021,4.576707000743995,12,7.012396184141724,96,4.576707000743994,7.89705414087972,5.256036111926941,4.578291089789266,6.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.140726562422937,9.784095046472848,0.26325189840282626,2.6906105996765453
