864: 767,108,174,532,5,365
865: 321,772,598,992,238
866: 490,819,389,507,1008,610
867: 378,413,746,328,594,109
868: 882,512,508,857,916,128,196
869: 301,750,187,9,643,792
870: 152,677,50,612,418,322
871: 251,125,856,458,731,712,509
872: 420,110
873: 246,28,188,447,700,48
874: 323,551,706,14,236,988
875: 601,648,111,700
876: 315,823,555,618,510,12
877: 689,947,189,215,944,348
878: 206,4,917,308,785,112
879: 914,850,679,863,506,511
880: 802,939,249,453,113,718
881: 936,609,209,740,299,324
882: 741,868,16,512,508,196,903
883: 580,114,288,726,486,304
884: 733,190,136,262,66,344
885: 739,115,659,814,334,42
886: 325,321,153
887: 669,829,133,191,742,269
888: 15,326,959,566,362,845
889: 1008,246,47,670,116,490
890: 965,224,396,192
891: 492,993,372,56,963,117
892: 154,535,860,327,320,425
893: 423,384,1017,990,237,809
894: 135,528,552,127,193,760
895: 994,650,119,839
896: 358,194,449,704
897: 329,159,774,155,39,647
898: 989,218,231,685,120,370
899: 982,270,195,367,586,222
900: 306,853,424,762,775,121
901: 903,330,16,569,1006,302
902: 122,503,784,1016,456,724
903: 196,330,695,901,882,16
904: 701,123
905: 78,331,647,693,450,709
906: 57,495,124,844,529,705
907: 274,797,617,197,450,709
908: 332,818,314,602,627,141
909: 1018,125,716,856,825,60,93
910: 280,426,165,561,639,198,837
911: 333,633,156,72,673,757
912: 146,278,510,184,126,851
913: 141,524,680,690,4,585
914: 679,511,879,127,440,614
915: 79,409,778,937,334,345
916: 319,857,1023,128,868,508
917: 4,878,482,112,200,524
918: 335,209,299,385,969,514
919: 43,201,661,688,289,717
920: 182,491,157,336,821,848
921: 752,993,381,1011,694,172
922: 1016,54,688,724,94,816
923: 958,849,185,715,813,203,80
924: 539,518,158,720,338
925: 744,204,162,984,763,697
926: 791,339,212,114,761,941
927: 398,205,754,553,503,855
928: 686,800,483,340,652,759
929: 416,206,308
930: 815,313,769,305,75,341
931: 499,312,811,843,207,651
932: 106,599,294,462,342,859
933: 562,208,317,850,863,828,699
934: 343,336,692,404,213,570
935: 344,397,346,433,550,788
936: 881,209,576,324
937: 79,915,345,955,19,219
938: 378,406,328,210,574,667
939: 249,1014,113,880,332,211
940: 779,346,658,214,766,75
941: 37,641,309,926,791,212
942: 687,289,201,347,793,82
943: 58,213,496,198,708,837
944: 215,41,877,248,1012,348
945: 214,968,365,474,978,779
946: 89,481,572,349,99,405
947: 689,877,161,349,215,99
948: 803,674,162,350,654,49
949: 225,753,216,382,950,351
950: 949,753,466,351,825,93
