434: 998,444,582,660,53,120,685
435: 142,333,591,156,286,292,662
436: 1015,665,751,807,383,242,1000,782
437: 265,2,669,316,13,829
438: 342,795,160,36,352,557,671
439: 253,478,1020,243,675,823
440: 149,277,614,679,838,879,914
441: 192,800,678,686
442: 364,976,691,1004,244
443: 147,176,693,264,309,641
444: 330,434,582,695,812,53,685
445: 457,11,307,696,405,99,572,840
446: 419,66,698,733,240,432
447: 47,794,480,111,246,700,873
448: 461,303,607,702,100
449: 704,896,1010
450: 907,647,709,905,274,39,596
451: 613,10,304,761,248,711,548
452: 43,363,713,747,101,844
453: 249,1014,391,507,718,802,880
454: 40,298,158,720,233,300,734
455: 153,521,722
456: 503,553,724,902,464,250
457: 380,445,696,840,684,726,810
458: 58,318,198,731,871,165,712
459: 271,34,628,103,821,737,547
460: 659,739,234,951,164,359,707
461: 448,512,607,741,100,252,842
462: 83,342,932,743,762,795,859
463: 745,790
464: 250,713,747,835,456,398,553
465: 254,1021,749
466: 237,105,494,753,832,950,93,856
467: 521,565,722,663,756,846
468: 493,828,255,511,850,127,193,760
469: 501,243,121,1002,762,859
470: 316,13,8,256,558,683,765,770
471: 424,632,768,104,26,45,853
472: 374,202,1013,564,595,773,862
473: 0,776
474: 397,177,779,945,365,108
475: 47,670,781,966,794,181,817
476: 134,586,644,783,20,109,594
477: 534,787,48,672
478: 790,439,823,110,315
479: 187,284,427,571,643,792,49
480: 181,601,831,111,447,794
481: 89,161,349,796,809,946,384
482: 85,200,112,917,798,799
483: 544,800,396,91,820,681,340
484: 113,275,802,785,416,308,830
485: 76,808,1010,704,541
486: 304,726,810,883,248,41
487: 245,393,1006,330,812,53,90,538
488: 353,115,814,885,729,163,954
489: 185,849,422,337,94,626,816
490: 1008,610,116,889,819,973,866
491: 805,157,336,692,920,934,824
492: 56,891,208,826,386,117
493: 381,1011,699,828,468,255
494: 237,1017,118,466,970,832,893
495: 57,705,844,906,30,713,835
496: 639,213,837,943,343,97,836
497: 296,119,71,653,725,755,839
498: 59,225,173,216,525,629,841
499: 370,120,898,660,207,843,931
500: 60,107,716,845,291,566,888,862
501: 243,121,469,555,675,847,1002,762
502: 126,851,224,719,965
503: 456,122,553,724,855,902,927
504: 62,387,707,217,702,858
505: 170,68,738,861,123
506: 401,63,863,199,290,679,879
507: 391,610,718,249,866,453
508: 196,272,868,916,64,857,728
509: 125,856,871,712,361,105
510: 184,618,876,912,12,146
511: 879,914,317,863,850,127,468
512: 461,128,145,607,741,16,868,882
513: 69,129,748,0
514: 385,299,366,980,144,604
515: 129,276,168,257,516,732,259
516: 144,276,257,515,604,740
517: 27,981,606,229,826,386
518: 233,2,539,588,924,983
519: 130,426,630,261,327,533,535
520: 258,730,732,132,530,589,65
521: 455,3,565,642,722,467
522: 568,971,387,721,116,973
523: 786,46,369,776,168,259,0
524: 200,4,913,917,680,585
525: 59,388,173,498,841,377,764,1003
526: 339,140,545,580,131,625
527: 186,5,174,621,864,852,957
528: 15,193,135,326,260,888,894,82
529: 389,124,249,705,906,1014,866
530: 74,682,132,554,589,258,520
531: 326,260,6,150,640,959,221
532: 108,390,383,767,864,782
533: 261,327,34,836,639,426,519
534: 477,183,718,787,391,672
535: 327,892,130,7,519,649,996
536: 392,212,548,771,175,10
537: 262,148,645,344,81,788
538: 203,813,812,393,487,53,90
539: 2,518,669,924,35,133,338
540: 394,392,771
541: 52,770,704,263,583,485,76
542: 239,395,650,711,613
543: 8,256,703,1023,354,956
544: 192,483,890,800,396,820
545: 339,526,84,131,264,791
546: 9,574,1005,406,750,22,979,869
547: 134,644,578,594,737,271,459,634
548: 212,536,761,451,10
549: 64,265,588,857,319,13
550: 397,177,242,81,788,935,1000
551: 11,307,293,988,706,874
552: 127,135,687,894,277,614,914
553: 456,398,503,927,205,464,835
554: 74,266,682,132,530,589,636
555: 501,306,12,675,823,847,876
556: 223,963,372,752,399,822
557: 67,352,671,36,138,267,438,795,160
558: 319,316,13,470,256,1023
559: 32,1020,178,622,1002,400,243
560: 356,33,960,624,625,615,136
561: 14,280,165,712,620,361,970
562: 401,317,975,208,933
563: 3,268,565,281,137,714
564: 382,351,472,1013,773,402
565: 3,521,563,467,281,137,756
566: 15,291,1022,888,500,845
567: 273,35,269,142,591,587
568: 403,616,971,522,57,228,973
569: 302,754,741,1019,252,16,901
570: 230,213,708,404,577,692,934
571: 138,479,284,267,427,643
572: 89,405,179,789,946,11,445
573: 982,270,26,45,603,666,952
574: 378,9,210,546,1005,938,406
