metric,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,point_count,mean_absolute_error_uM,max_absolute_error_uM,rmse_uM,mean_relative_error_percent,max_relative_error_percent,rmse_percent
center,dx_5um__uptake_12044__dtdiff_0p005min__volume_523um3,5.0,12044,0.005,523.0,52.300000000000004,101,2.431427134826048,4.467665314553245,2.49433329893485,33.33740762050951,49.932903394251525,33.92165052090526
center,dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,40.0,12044,0.1,1000.0,100.0,101,2.4305123732876313,2.550052323738302,2.4436959860187195,33.56723704884062,34.865268696357575,33.78609183809308
center,dx_3um__uptake_12044__dtdiff_0p1min__volume_523um3,3.0,12044,0.1,523.0,52.300000000000004,101,2.4152559452633655,2.7720020794647287,2.5412959172246095,33.601061225458366,38.82682168136635,35.42216919439309
center,dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,52.300000000000004,101,2.546146363548755,2.6285970779203494,2.5592162418164652,35.1491558688793,35.971684957005934,35.356451219368495
center,dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,100.0,101,2.560593705158122,2.6434273424497974,2.5737267277885123,35.34832930380009,36.17348524857599,35.55646987346297
center,dx_3um__uptake_12044__dtdiff_0p1min__volume_1000um3,3.0,12044,0.1,1000.0,100.0,101,2.5507735238621008,2.7776588276806313,2.6274149764826022,35.41702370584295,38.906169613063625,36.53636072258948
center,dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,40.0,12044,0.01,523.0,52.300000000000004,101,2.66565285261744,2.827644003125574,2.6795119815089756,36.78921668994838,38.23044212309368,37.00073490602784
center,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,101,2.684336035176686,2.8498924867567395,2.698287389238999,37.04565406886647,38.49757134764487,37.257380400117746
center,dx_2um__uptake_12044__dtdiff_0p1min__volume_523um3,2.0,12044,0.1,523.0,52.300000000000004,101,2.701277770979573,2.83352759155619,2.7241940381846894,37.37762021457783,39.688820344699685,37.781040559910565
center,dx_2um__uptake_12044__dtdiff_0p1min__volume_1000um3,2.0,12044,0.1,1000.0,100.0,101,2.703725135674919,2.8347347088704877,2.7266830007922462,37.41162142410786,39.705726888101815,37.815756821288076
center,dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,40.0,12044,0.01,1000.0,100.0,101,2.7305371768628373,2.894470723063219,2.7446973445322547,37.68344330472533,39.12309737687354,37.89862347246071
center,dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,40.0,12044,0.005,1000.0,100.0,101,2.750130224378581,2.917682772115934,2.7643900743185488,37.95245760668125,39.402660710191746,38.16796079325634
center,dx_10um__uptake_12044__dtdiff_0p01min__volume_523um3,10.0,12044,0.01,523.0,52.300000000000004,101,3.588075406598402,4.2359822785954115,3.608385670044871,49.457663999135605,50.39215775382167,49.70531351898685
center,dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,10.0,12044,0.01,1000.0,100.0,101,3.598276031798175,4.247586047720563,3.6186372028451532,49.598351968485275,50.529652788695316,49.84670316901675
center,dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,20.0,12044,0.01,523.0,52.300000000000004,101,3.6877784379770273,3.8488988590819018,3.706549472876804,50.88863487793857,52.02683390477832,51.16976605896609
center,dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,20.0,12044,0.01,1000.0,100.0,101,3.714346569172305,3.8770295881410393,3.7332493873413197,51.25479225470145,52.39503752705872,51.537522293912964
center,dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,20.0,12044,0.005,523.0,52.300000000000004,101,3.784223692197501,3.9539335574764545,3.80348953546819,52.2174796751989,53.373935317578635,52.50428630011154
center,dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,20.0,12044,0.005,1000.0,100.0,101,3.811917982684429,3.9835868354141115,3.8313224644744213,52.59913485335509,53.757409904676344,52.88760154249478
center,dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,52.300000000000004,101,3.9091489679023805,4.586331966382868,3.9309833724394427,53.88708225209986,54.74082790171215,54.1569973182689
center,dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,100.0,101,3.920883384774287,4.6000337798104285,3.9427783955798046,54.04890186960112,54.90202124311295,54.319626533701694
