id,total_volume,current_phase,dt,elapsed_time_in_phase
2.0,970.4045313322501,12.0,1870.0,53.99999999995089
0.0,893.232803187808,12.0,1880.0,11.999999999989086
2.0,974.6180528655123,12.0,1880.0,65.99999999993997
0.0,897.4272392114888,12.0,1890.0,17.99999999998363
2.0,976.6381850955662,12.0,1890.0,71.99999999993452
0.0,905.495059488613,12.0,1900.0,29.999999999972715
2.0,980.5127765447564,12.0,1900.0,83.9999999999236
0.0,913.1496349271448,12.0,1910.0,41.9999999999618
2.0,984.1761759317399,12.0,1910.0,95.99999999991269
0.0,916.8274986942731,12.0,1920.0,47.999999999956344
2.0,985.9321897269826,12.0,1920.0,101.99999999990723
0.0,923.8953675118986,13.0,1930.0,5.999999999994543
2.0,989.2995746202147,12.0,1930.0,113.99999999989632
0.0,930.5938753749793,13.0,1940.0,17.99999999998363
2.0,992.482694251222,13.0,1940.0,0.0
0.0,933.8099561208776,13.0,1950.0,23.999999999978172
2.0,994.0082573445139,13.0,1950.0,5.999999999994543
0.0,939.986222491483,13.0,1960.0,35.99999999996726
2.0,996.9333253603716,13.0,1960.0,17.99999999998363
0.0,945.8348944139675,13.0,1970.0,47.999999999956344
2.0,999.6978811500117,13.0,1970.0,29.999999999972715
0.0,948.6413655298556,13.0,1980.0,53.99999999995089
2.0,1001.0226954637876,13.0,1980.0,35.99999999996726
0.0,954.0282569911838,13.0,1990.0,65.99999999993997
2.0,1003.562608969693,13.0,1990.0,47.999999999956344
0.0,959.1262529709791,13.0,2000.0,77.99999999992906
2.0,1005.9628707234692,13.0,2000.0,59.99999999994543
0.0,961.5714729956435,13.0,2010.0,83.9999999999236
2.0,1007.1130228229706,13.0,2010.0,65.99999999993997
0.0,966.26316073881,13.0,2020.0,95.99999999991269
2.0,1009.3179312716409,13.0,2020.0,77.99999999992906
0.0,970.7011642432237,13.0,2030.0,107.99999999990177
2.0,1011.401447171623,13.0,2030.0,89.99999999991815
0.0,972.8291441632707,13.0,2040.0,113.99999999989632
2.0,1012.3997717511382,13.0,2040.0,95.99999999991269
0.0,976.9109670177409,13.0,2050.0,125.9999999998854
2.0,1014.313536917907,13.0,2050.0,107.99999999990177
0.0,980.7707370991702,13.0,2060.0,138.00000000010186
2.0,1016.121851797013,13.0,2060.0,120.00000000011823
0.0,982.6210203840178,13.0,2070.0,144.00000000023283
2.0,1016.9882867361924,13.0,2070.0,126.0000000002492
0.0,986.1694199761936,13.0,2080.0,156.00000000049477
2.0,1018.6491822861203,13.0,2080.0,138.00000000051114
0.0,989.5239221484507,13.0,2090.0,168.0000000007567
2.0,1020.2185205870471,13.0,2090.0,150.00000000077307
0.0,991.1317111515674,13.0,2100.0,174.00000000088767
2.0,1020.970441422659,13.0,2100.0,156.00000000090404
0.0,497.10729264773227,4.0,2110.0,6.000000000130967
2.0,1022.4118066334312,13.0,2110.0,168.00000000116597
3.0,497.10729264773227,4.0,2110.0,6.000000000130967
0.0,498.56422732560395,4.0,2120.0,18.0000000003929
2.0,511.8868523151067,4.0,2120.0,0.0
3.0,498.56422732560395,4.0,2120.0,18.0000000003929
4.0,511.8868523151067,4.0,2120.0,0.0
0.0,499.2624376571116,4.0,2130.0,24.00000000052387
2.0,512.2131161307318,4.0,2130.0,6.000000000130967
3.0,499.2624376571116,4.0,2130.0,24.00000000052387
4.0,512.2131161307318,4.0,2130.0,6.000000000130967
0.0,500.60108002510424,4.0,2140.0,36.0000000007858
2.0,512.8385350795851,4.0,2140.0,18.0000000003929
3.0,500.60108002510424,4.0,2140.0,36.0000000007858
