time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
1.06667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.08333	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.1	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.11667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.13333	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.15	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.16667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.18333	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.2	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.21667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99792	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
